Experiment,Value,Std
Stage-only Cox,0.6566554236752069,0.04367735336577499
Clinical-only Cox,0.6454782462065446,0.02785717360842115
Clin+Genomic Cox,0.64115862832962,0.032201789425743824
Clin+Genomic+Hypoxia Cox,0.64115862832962,0.032201789425743824
SAGAM df=3,0.5565247103556787,0.10490198967559448
SAGAM df=4 (current),0.5783693104679629,0.06500027539708332
SAGAM df=5,0.548550989909201,0.0813506496396768
SAGAM df=6,0.49811052284176593,0.04065471687032769
IBS RSF (5-fold),0.188345342605843,
IBS GBS (5-fold),0.19399245590169484,
Wilcoxon p SAGAM vs Linear,0.3125,
Wilcoxon p SAGAM vs DeepSurv,0.625,
Mean fold delta SAGAM-Linear,0.006389626842986962,
Mean fold delta SAGAM-DeepSurv,-0.0022569010685252965,
